23.98.208.0,23.98.223.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.255.0,23.98.255.47,Microsoft Azure,http://www.windowsazure.com/en-us/
23.98.255.64,23.98.255.127,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.0.0,23.99.32.143,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.33.0,23.99.33.15,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.34.0,23.99.37.63,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.37.80,23.99.37.159,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.37.176,23.99.38.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.40.0,23.99.42.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.44.0,23.99.47.79,Microsoft Azure,http://www.windowsazure.com/en-us/
23.99.48.0,23.100.127.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.100.192.0,23.101.39.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.101.48.0,23.101.79.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.101.112.0,23.102.80.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.102.128.0,23.102.191.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.102.204.0,23.102.207.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.102.224.0,23.102.255.255,Microsoft Azure,http://www.windowsazure.com/en-us/
23.104.0.0,23.111.255.255,Ubiquity Server Solutions,http://www.ubiquityservers.com/
23.192.0.0,23.223.255.255,Akamai,http://akamai.com/
23.226.64.0,23.226.79.255,Input Output Flood LLC,http://ioflood.com/
23.228.192.0,23.228.255.255,Psychz Networks,http://psychz.net/
23.229.0.0,23.229.127.255,servermania.com,http://www.servermania.com/
23.230.0.0,23.230.255.255,EGIHosting.com,http://www.egihosting.com/
23.231.0.0,23.231.127.255,infinitie.net,http://www.serverhub.com/
23.235.224.0,23.235.255.255,Secure Servers,http://www.securedservers.com/
23.236.96.0,23.236.127.255,Zenlayer,http://www.zenlayer.com/
23.238.128.0,23.238.255.255,Psychz Networks,http://psychz.net/
23.239.0.0,23.239.31.255,Linode,http://www.linode.com/
23.239.96.0,23.239.127.255,Gorilla Servers,http://gorillaservers.com/
23.239.192.0,23.239.223.255,wehostwebsites.com,http://wehostwebsites.com/
23.244.0.0,23.245.255.255,Enzu USA,https://www.enzu.com/
23.248.160.0,23.248.191.255,Zenlayer,http://www.zenlayer.com/
23.250.0.0,23.250.127.255,servermania.com,http://www.servermania.com/
23.252.112.0,23.252.127.255,WebNX Internet Services,http://webnx.com/
23.253.0.0,23.253.255.255,Rackspace,http://www.rackspace.com/
23.254.0.0,23.254.127.255,B2 NET Solutions,http://www.servermania.com/
25.66.8.0,25.66.15.255,Microsoft Azure,http://www.windowsazure.com/en-us/
27.50.32.0,27.50.39.255,Hurricane Electic,http://www.he.net/
27.131.64.0,27.131.127.254,Micron21,http://www.micron21.com/
31.3.104.0,31.3.111.255,tuxis.nl,http://tuxis.nl/
31.3.152.0,31.3.159.255,AltusHost,http://www.altushost.com/
31.3.224.0,31.3.255.255,Redstation Limited,http://redstation.com/
31.6.80.0,31.6.95.255,Grid Telekom,http://grid.com.tr/
31.7.56.0,31.7.63.255,Private Layer INC,http://privatelayer.com/
31.22.104.0,31.22.111.255,DiaHosting,https://www.diahosting.com/en/
31.22.112.0,31.22.119.255,Hyperhosting,http://hyperhosting.gr/
31.24.32.0,31.24.39.255,ServerSpace Limited,http://www.serverspace.co.uk/
31.24.144.0,31.24.151.255,Plutex,http://www.plutex.de/
31.24.208.0,31.24.215.255,colocall.net,http://colocall.net/
31.25.184.0,31.25.191.255,Memset Ltd,http://www.memset.com/
31.28.160.0,31.28.191.255,colocall.net,http://colocall.net/
31.31.32.0,31.31.39.255,RapidSpeeds Servers LTD,http://rapidspeeds.com/
31.31.72.0,31.31.79.255,wedos,http://www.wedos.com/
31.44.224.0,31.44.239.255,PatrikWeb,http://patrikweb.net/
31.47.208.0,31.47.215.255,everhost,http://everhost.co/
31.130.200.0,31.130.207.255,datahata.by,http://datahata.by/
31.131.16.0,31.131.31.255,vps.ua,http://vps.ua/
31.133.0.0,31.133.7.255,hosteam.pl,http://hosteam.pl/
31.148.128.0,31.148.128.255,ServerClub Inc,http://serverclub.com/
31.170.24.0,31.170.31.255,Excellent Hosting Sweden AB,http://www.excellent-hosting.se/
31.170.104.0,31.170.111.255,providerdienste,http://www.providerdienste.de/
31.170.160.0,31.170.167.255,main-hosting.com,http://main-hosting.com/
31.171.128.0,31.171.135.255,Netrouting,http://www.netrouting.com/
31.172.240.0,31.172.255.255,Tagadab,http://tagadab.com/
31.184.192.0,31.184.199.255,Petersburg Internet Network ltd.,http://pinspb.ru/
31.184.242.0,31.184.242.255,mrhost.biz,http://mrhost.biz/
31.185.104.0,31.185.111.255,nbiserv.de,http://nbiserv.de/
31.187.64.0,31.187.66.255,servhost.de,http://servhost.de/
31.187.74.0,31.187.75.255,servhost.de,http://servhost.de/
31.192.104.0,31.192.111.255,HostKey,http://www.hostkey.com/
31.192.224.0,31.192.231.255,GleSys,http://glesys.se/
31.193.0.0,31.193.15.255,BurstNET,http://burst.net/
31.193.128.0,31.193.143.255,BlueConnex,http://www.simplytransit.net/
31.193.192.0,31.193.199.255,hostex.lt,http://hostex.lt/
31.193.224.0,31.193.231.255,hostinet.com,http://hostinet.com/
31.204.128.0,31.204.159.255,i3d.net,http://i3d.net/
31.207.6.128,31.207.6.255,CEU Servers,http://ceuservers.net/
31.207.88.0,31.207.95.255,Hispaweb Network,http://hispaweb.net/
31.210.64.0,31.210.127.255,Radore Hosting,http://as42926.net/
31.210.232.0,31.210.239.255,crosspointcolo.co.uk,http://crosspointcolo.co.uk/
31.214.128.0,31.214.255.255,Optimate Server,http://optimate-server.de/
31.216.48.0,31.216.55.255,Hosting UK,http://hostinguk.net/
31.220.128.0,31.220.131.255,everhost,http://everhost.co/
31.222.128.0,31.222.191.255,Rackspace,http://www.rackspace.com/
37.9.224.0,37.9.228.223,seeweb.it,http://seeweb.it/
37.10.0.0,37.10.127.255,Optimate Server,http://optimate-server.de/
37.26.240.0,37.26.247.255,DigiCube,http://digicube.fr/
37.34.59.0,37.34.60.255,transip,https://www.transip.nl/
37.34.62.0,37.34.62.255,transip,https://www.transip.nl/
37.46.112.0,37.46.117.255,AltusHost,http://www.altushost.com/
37.46.124.0,37.46.127.255,AltusHost,http://www.altushost.com/
37.46.192.0,37.46.195.255,netrouting.com,http://www.netrouting.com/
37.48.64.0,37.48.120.255,Leaseweb,http://www.leaseweb.com/
37.49.224.0,37.49.227.255,EstroWeb,http://www.estrowebservices.com/
37.58.48.0,37.58.55.255,Leaseweb,http://www.leaseweb.com/
37.58.64.0,37.58.127.255,SoftLayer,http://www.softlayer.com/
37.59.0.0,37.59.255.255,OVH,http://www.ovh.co.uk/
37.72.168.0,37.72.168.255,Swiftway,http://swiftway.net/
37.72.171.0,37.72.171.255,Swiftway,http://swiftway.net/
37.72.173.0,37.72.173.127,Swiftway,http://swiftway.net/
37.122.208.0,37.122.211.255,Webfusion,http://www.webfusion.com/
37.123.112.0,37.123.112.255,UK2 Group,http://www.uk2.net/
37.123.114.0,37.123.115.255,UK2 Group,http://www.vps.net/
37.123.118.0,37.123.118.255,UK2 Group,http://www.vps.net/
37.128.129.0,37.128.129.255,Memset Ltd,http://www.memset.com/
37.130.225.0,37.130.229.255,UK2 Hosting Services,https://www.uk2.net/
37.139.52.0,37.139.52.255,MrHost,http://mrhost.biz/
37.140.192.0,37.140.195.255,Reg.ru,https://www.reg.ru/
37.143.8.0,37.143.15.255,ihc.ru,http://www.ihc.ru/
37.157.192.0,37.157.196.255,wedos,http://www.wedos.com/
37.157.198.0,37.157.198.255,wedos,http://www.wedos.com/
37.157.240.16,37.157.240.23,Redstation Limited,http://redstation.com/
37.157.241.144,37.157.241.151,Redstation Limited,http://redstation.com/
37.157.244.0,37.157.244.31,Redstation Limited,http://redstation.com/
37.157.244.32,37.157.244.63,idealhosting,http://www.idealhosting.com/
37.157.244.64,37.157.244.95,Redstation Limited,http://redstation.com/
37.157.244.96,37.157.244.103,idealhosting,http://www.idealhosting.com/
37.157.244.104,37.157.244.255,Redstation Limited,http://redstation.com/
37.157.245.32,37.157.245.63,Redstation Limited,http://redstation.com/
37.157.245.128,37.157.245.159,idealhosting,http://www.idealhosting.com/
37.157.246.120,37.157.246.127,almahost.co.uk,http://www.almahost.ir/
37.157.246.184,37.157.246.191,Redstation Limited,http://redstation.com/
37.157.247.64,37.157.247.127,Redstation Limited,http://redstation.com/
37.187.0.0,37.187.255.255,OVH,http://www.ovh.co.uk/
37.188.112.0,37.188.117.255,Rackspace,http://www.rackspace.com/
37.188.120.0,37.188.127.255,Rackspace,http://www.rackspace.com/
37.220.0.96,37.220.0.103,Redstation Limited,http://redstation.com/
37.220.1.0,37.220.1.95,Redstation Limited,http://redstation.com/
37.220.1.96,37.220.1.127,idealhosting,http://www.idealhosting.com/
37.220.1.128,37.220.1.191,Redstation Limited,http://redstation.com/
37.220.1.192,37.220.1.199,idealhosting,http://www.idealhosting.com/
37.220.1.200,37.220.1.255,Redstation Limited,http://redstation.com/
37.220.3.0,37.220.3.23,Redstation Limited,http://redstation.com/
37.220.3.24,37.220.3.31,idealhosting,http://www.idealhosting.com/
37.220.3.32,37.220.3.47,Redstation Limited,http://redstation.com/
37.220.3.48,37.220.3.63,idealhosting,http://www.idealhosting.com/
37.220.3.64,37.220.3.247,Redstation Limited,http://redstation.com/
37.220.3.248,37.220.3.255,idealhosting,http://www.idealhosting.com/
37.220.6.0,37.220.6.15,idealhosting,http://www.idealhosting.com/
37.220.6.16,37.220.6.31,Redstation Limited,http://redstation.com/
37.220.6.32,37.220.6.63,idealhosting,http://www.idealhosting.com/
37.220.6.64,37.220.6.127,Redstation Limited,http://redstation.com/
37.220.6.128,37.220.6.143,idealhosting,http://www.idealhosting.com/
37.220.6.144,37.220.6.167,Redstation Limited,http://redstation.com/
37.220.6.168,37.220.6.215,idealhosting,http://www.idealhosting.com/
37.220.6.216,37.220.6.231,Redstation Limited,http://redstation.com/
37.220.6.232,37.220.6.247,idealhosting,http://www.idealhosting.com/
37.220.6.248,37.220.6.255,Redstation Limited,http://redstation.com/
37.220.7.232,37.220.7.239,Redstation Limited,http://redstation.com/
37.220.8.0,37.220.8.31,idealhosting,http://www.idealhosting.com/
37.220.8.32,37.220.8.55,Redstation Limited,http://redstation.com/
37.220.8.56,37.220.8.127,idealhosting,http://www.idealhosting.com/
37.220.8.128,37.220.8.239,Redstation Limited,http://redstation.com/
37.220.8.240,37.220.8.255,idealhosting,http://www.idealhosting.com/
37.220.10.0,37.220.10.127,almahost.co.uk,http://www.almahost.ir/
37.220.11.16,37.220.11.23,Redstation Limited,http://redstation.com/
37.220.13.0,37.220.13.31,almahost.co.uk,http://www.almahost.ir/
37.220.13.32,37.220.13.127,Redstation Limited,http://redstation.com/
37.220.13.128,37.220.13.143,idealhosting,http://www.idealhosting.com/
37.220.13.144,37.220.13.255,Redstation Limited,http://redstation.com/
37.220.14.152,37.220.14.191,almahost.co.uk,http://www.almahost.ir/
37.220.16.0,37.220.16.31,idealhosting,http://www.idealhosting.com/
37.220.16.32,37.220.17.55,Redstation Limited,http://redstation.com/
37.220.17.56,37.220.17.127,almahost.co.uk,http://www.almahost.ir/
37.220.17.128,37.220.17.255,Redstation Limited,http://redstation.com/
37.220.18.64,37.220.18.95,almahost.co.uk,http://www.almahost.ir/
37.220.18.160,37.220.18.191,Redstation Limited,http://redstation.com/
37.220.19.128,37.220.19.159,almahost.co.uk,http://www.almahost.ir/
37.220.20.128,37.220.20.191,almahost.co.uk,http://www.almahost.ir/
37.220.21.192,37.220.21.255,almahost.co.uk,http://www.almahost.ir/
37.220.22.128,37.220.22.255,almahost.co.uk,http://www.almahost.ir/
37.220.23.24,37.220.23.31,idealhosting,http://www.idealhosting.com/
37.220.23.160,37.220.23.207,almahost.co.uk,http://www.almahost.ir/
37.220.29.0,37.220.29.7,almahost.co.uk,http://www.almahost.ir/
37.220.29.96,37.220.29.111,Redstation Limited,http://redstation.com/
37.220.30.0,37.220.30.63,almahost.co.uk,http://www.almahost.ir/
37.220.35.0,37.220.35.255,yisp Netherlands,http://yisp.nl/
37.220.97.240,37.220.97.247,Tagadab,http://tagadab.com/
37.220.98.8,37.220.98.15,Tagadab,http://tagadab.com/
37.221.160.0,37.221.160.31,LippunerHosting,http://server4.pro/
37.221.160.32,37.221.160.63,ixam-hosting,http://ixam-hosting.com/
37.221.160.80,37.221.160.95,EpioHost,http://epiohost.net/
37.221.160.96,37.221.160.127,ixam-hosting,http://ixam-hosting.com/
37.221.160.192,37.221.160.207,Alibaba Host,http://alibabahost.com/
37.221.160.224,37.221.160.255,CINIPAC,http://cinipac.com/
37.235.49.0,37.235.49.255,EDIS,http://www.edis.at/
37.235.53.0,37.235.63.255,EDIS,http://www.edis.at/
40.74.0.0,40.77.127.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.78.0.0,40.79.7.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.79.8.32,40.79.8.47,Microsoft Azure,http://www.windowsazure.com/en-us/
40.79.8.64,40.79.8.111,Microsoft Azure,http://www.windowsazure.com/en-us/
40.79.9.0,40.79.9.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.79.16.0,40.79.48.47,Microsoft Azure,http://www.windowsazure.com/en-us/
40.79.49.0,40.79.49.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.79.56.0,40.79.87.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.79.88.32,40.79.88.47,Microsoft Azure,http://www.windowsazure.com/en-us/
40.79.89.0,40.79.89.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.79.92.0,40.79.93.15,Microsoft Azure,http://www.windowsazure.com/en-us/
40.79.96.0,40.84.240.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.84.241.16,40.84.247.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.85.0.0,40.85.191.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.86.0.0,40.86.127.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.86.136.0,40.86.191.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.87.0.0,40.87.159.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.112.36.0,40.112.36.63,Microsoft Azure,http://www.windowsazure.com/en-us/
40.112.36.128,40.112.36.191,Microsoft Azure,http://www.windowsazure.com/en-us/
40.112.48.0,40.116.0.15,Microsoft Azure,http://www.windowsazure.com/en-us/
40.116.0.32,40.116.0.63,Microsoft Azure,http://www.windowsazure.com/en-us/
40.116.1.0,40.116.1.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.116.24.0,40.116.40.63,Microsoft Azure,http://www.windowsazure.com/en-us/
40.116.41.0,40.116.41.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.116.48.0,40.116.79.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.116.120.0,40.116.120.47,Microsoft Azure,http://www.windowsazure.com/en-us/
40.116.120.64,40.116.120.95,Microsoft Azure,http://www.windowsazure.com/en-us/
40.117.32.0,40.118.255.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.121.0.0,40.122.255.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.123.16.0,40.123.16.47,Microsoft Azure,http://www.windowsazure.com/en-us/
40.123.17.0,40.123.17.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.123.24.0,40.123.55.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.123.120.0,40.123.127.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.124.0.0,40.124.63.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.126.224.0,40.126.255.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.127.64.0,40.127.111.255,Microsoft Azure,http://www.windowsazure.com/en-us/
40.127.128.0,40.127.255.255,Microsoft Azure,http://www.windowsazure.com/en-us/
42.1.60.0,42.1.63.255,Exa Bytes Network Sdn Bhd,http://exabytes.com/
45.32.0.0,45.32.255.255,Choopa,https://www.choopa.com/
45.33.0.0,45.33.127.255,Linode,http://www.linode.com/
45.34.0.0,45.35.255.255,Psychz Networks,http://psychz.net/
45.55.0.0,45.55.255.255,DigitalOcean USA,https://www.digitalocean.com/
45.56.64.0,45.56.127.255,Linode,http://www.linode.com/
45.59.128.0,45.59.191.255,Roya Hosting,http://www.royahosting.com/
45.62.192.0,45.62.255.255,KW Datacenter CA,http://www.kwdatacentre.com/
45.63.0.0,45.63.127.255,Choopa,https://www.choopa.com/
45.76.0.0,45.77.255.255,Choopa,https://www.choopa.com/
46.4.0.0,46.4.255.255,Hetzner Online AG,http://www.hetzner.de/
46.16.184.0,46.16.191.255,SoftLayer,http://www.softlayer.com/
46.17.0.0,46.17.7.255,Flexwebhosting.nl,http://www.flexwebhosting.nl/
46.17.96.0,46.17.103.255,HostKey,http://www.hostkey.com/
46.19.32.0,46.19.39.255,tilaa,http://www.tilaa.nl/
46.20.10.0,46.20.10.255,Turkiye Telekom Datacenter,http://ttnetdc.com/
46.20.12.1,46.20.12.128,Turkiye Telekom Datacenter,http://ttnetdc.com/
46.20.112.0,46.20.127.255,PEER 1,http://www.peer1.com/
46.21.96.0,46.21.111.255,GleSys,http://glesys.se/
46.21.144.0,46.21.159.255,Swiftway,http://swiftway.net/
46.21.160.0,46.21.175.255,rijndata.nl,http://rijndata.nl/
46.21.192.0,46.21.207.255,euro-web.com,http://fr.euro-web.com/
46.22.211.128,46.22.211.191,Inferno Solutions,http://inferno.name/
46.23.64.0,46.23.71.255,UK2 Group,http://www.uk2.net/
46.23.72.0,46.23.79.255,VPS.net,https://www.vps.net/
46.28.104.0,46.28.111.255,wedos,http://www.wedos.com/
